"job_title","company","location","salary","job_detail","company_size","category","company_logo_url","job_url"
"Onsite NOC / Onsite Network Engineer (Teknisi Jaringan Komputer )","PT Asia Teknologi Solusi","Jakarta Raya","Rp 5.500.000 Rp 7.500.000 per month","Onsite NOC / Onsite Network Engineer ( Teknisi Jaringan Komputer ) Kami membutuhkan Onsite NOC (Network Operations Center) yang ahli dalam memberikan layanan Managed Service kepada para pelanggan kami. Kemampuan dasar teknisi jaringan dan komputer dibutuhkan dalam pekerjaan ini. Bagi yang sudah berpengalaman di ISP (minimal 2 tahun), akan lebih diutamakan. Dengan gaji minimal Rp. 5,500,000 (tergantung hasil Online Test & Direct Test saat interview). Silakan lakukan Online Test di: https://ats-com.net/onsite-noc/ Pemanggilan interview akan dilakukan setelah kami melakukan penilaian dari Online Test tersebut. Deskripsi pekerjaan:Siap berkunjung ke pelanggan jika dibutuhkan sesuai eskalasi RFBO (Remote First Before Onsite).Analisa dan setting keamanan jaringan komputer di sisi pelanggan.Analisa dan setting server, router, manageable switch, wireless access point, printer jaringan, dan peralatan jaringan komputer lainnya.Monitoring, troubleshoot dan perbaikan jaringan internal perusahaan.Membuat panduan (user guide) untuk para pelanggan, yang berhubungan dengan jaringan komputer.Membuat laporan pekerjaan secara detail ke atasan.Patuh sepenuhnya kepada prosedur kerja yang telah ditentukan perusahaan. Persyaratan:Paham secara mendalam tentang DNS, DHCP, TCP/IP, VPN, VLAN.Memiliki kendaraan pribadi dan SIM.Maximal absen (tanpa surat keterangan yang valid) 2 hari dalam 1 bulan.Kepribadian rapih, sopan & sabar dalam menangani keluhan pelanggan.Mampu bekerja dengan hasil yang rapih, cepat & akurat.Siap bekerja lembur untuk menyelesaikan tugas & tanggung jawab.Patuh terhadap Kode Etik dan Peraturan Perusahaan. Terima kasih,PT Asia Teknologi Solusi (ATS INTERNET)www.ats-com.net.idHead Office:Jl. Green Lake City BoulevardSentra Niaga Blok N-17Duri KosambiJakarta Barat 11750ATS Training Center:MikroTik Certified IndonesiaJl. Meruya Ilir RayaRukan Intercon Kebon Jeruk Blok AA1 No: 27","11-50 employees","IT/Programmer","https://bx-branding-gateway.cloud.seek.com.au/91e21493-a46e-4a12-adce-b2b3635be2e0.2/jdpLogo","https://id.jobstreet.com/id/job/92025563?type=standard&ref=search-standalone&origin=jobCard#sol=26dcf38074fe80cde1b607140d8f9447ee80fd62"
"AI Fullstack Builder ERP & POS System","PT Rasa Cinta Nusantara","Jakarta Raya","Rp 10.000.000 Rp 15.000.000 per month","Tentang PerusahaanKami adalah startup yang bergerak di bidang F&B, Central Kitchen, dan multi-outlet management yang sedang mengembangkan sistem internal berbasis teknologi untuk operasional bisnis, inventory, purchasing, dashboard KPI, ERP, dan POS.Saat ini kami mencari talenta teknologi yang memiliki mindset builder, cepat belajar, adaptif terhadap AI tools, dan tertarik membangun sistem dari nol bersama founder.Posisi:AI Fullstack BuilderLokasi Kerja:Office / Hybrid / RemoteJob Description:Mengembangkan ERP & POS system internal perusahaanMembuat dashboard KPI dan reporting systemMengembangkan inventory & purchasing moduleMembuat workflow automation dan integrasi systemBerkolaborasi langsung dengan founder untuk menerjemahkan workflow bisnis menjadi systemMelakukan maintenance, improvement, dan debugging systemMembuat system yang scalable untuk multi outletRequirements:Menguasai React / Next.jsPendidikan Minimal S1 Teknik Informatika, Sistem Informasi atau bidang terkaitMenguasai database PostgreSQL / SupabaseMemahami API integrationMemahami frontend & backend developmentTerbiasa menggunakan AI-assisted coding toolsMampu bekerja secara mandiriMemiliki problem solving yang baikMemiliki kemampuan komunikasi yang baikBersedia bekerja dalam lingkungan startup yang dinamisPreferred Qualifications:Pernah membuat ERP / POS / dashboard systemMengerti inventory management systemMengerti workflow bisnis F&B/restoran menjadi nilai tambahFamiliar dengan:CursorClaudeGitHub CopilotFirebaseVerceln8nMemiliki portfolio atau GitHub aktif (portfolio lebih penting dari pada gelar)Cara Melamar, Kirim:* CV* Portfolio / GitHub* Tech stack yang dikuasai* Contoh project yang pernah dibuat","","IT/Programmer","https://bx-branding-gateway.cloud.seek.com.au/68e7bf1d-a994-45af-90fa-0295df2f1f6d.1/jdpLogo","https://id.jobstreet.com/id/job/91960903?type=standard&ref=search-standalone#sol=546ae427cd1c72d32a8a8528ffda8f39943f0f37"
"Software Developer","PT System Ever Indonesia","Jakarta Selatan","Rp 7.500.000 Rp 9.500.000 per month","Job Description : Collaborate with other developers and cross-functional teams to understand project requirements.Write clean, efficient, and maintainable codeDevelop projects that within project timelines and deadlinesDebug and troubleshoot issues in the development, testing, and production environmentRequirements : Graduated from Computer Science, Software Engineering, or relatedHaving 1-3 years experience in the same field. Fresh graduate are welcomeAble to speak english both speaking & writtingProficient in database programming such as MS SQL or MySqlWillingness to learn and adapt to new technologies and mobile development practices.Understand ERP System Flow and mobile application more preferableSkills :Database Programming (MS SQL and/or MySql)UI/UX BasicAnalyze & Problem-Solving Skills","11-50 employees","IT/Programmer","https://bx-branding-gateway.cloud.seek.com.au/2644f8bf-388f-4ca3-b8fb-d541647544d5.2/jdpLogo","https://id.jobstreet.com/id/job/91677128?type=standard&ref=search-standalone#sol=6b35aa05201bb0717aa6fa95d0d3988ea7519321"
"Software Developer (Project Base)","PT Mitra Solusi Telematika","Jakarta Selatan","","PT Mitra Solusi Telematika (MST) operates as an information technology company and a member of Tiara Marga Trakindo (TMT). Established in March 1999, MST serves as the primary center for cutting-edge IT solutions and digital transformation across the entire TMT Group. We provide an exceptional range of IT solutions, digital and analytical services, as well as products and services in operational technology. Currently, we're hiring for a talented professional to be a part of our team as Software Developer. As an expert, you will play a significant role in developing so many applications system. This position offers numerous challenging opportunities to contribute to business system improvements. Job Description:Development Application SystemConfirms project requirements by reviewing program objective, input data, and output requirements with analyst, supervisor, and clientArranges project requirements in programming sequence by analyzing requirements, preparing a workflow chart and diagram using knowledge of computer capabilities, subject matter, programming language, and logicWrite, test, debug and maintain the detailed instruction, called computer program, that computer must follow to perform their functionAct as Integrator and Database AdministratorMaintains historical records by documenting program development and revisionsControlling and monitoring implementation of all system applicationConduct user need analysis, coordinate with team member developer, create program according to user neededReview, analyzes, and modifies programming system including encodingEnsure the product running well Requirements:Candidate must possess at least Minimum Bachelor s degree in Computer Science / Information TechnologyUp to 2 years of working experience in the related field is required for this positionRequired Skill(s): net core C#, next js, reactjs, AWS Console and Power Platform (PowerApps, Sharepoint, PowerBI)Familiar with DevOps ecosystemsExperienced in using DevOps Tools (Git, Jenkins, Docker, etc)Experienced with serverless architecture is DesirableHigh Integrity, able to work based on target and under pressureProactive and good communication skillHave good logic & analytical thinkingOpen minded and fast learnerReady to join immediately with 6 months contract terms.","101-1,000 employees","IT/Programmer","https://bx-branding-gateway.cloud.seek.com.au/06c1a28f-6fd9-45f3-8d36-8cd6ba3f6d86.1/jdpLogo","https://id.jobstreet.com/id/job/91781035?type=standard&ref=search-standalone#sol=a5c5002b636df395e6eeec6df99a9fcc61d062ae"
"IT Fullstack","PT Trans Indonesia Superkoridor","Kelapa Gading","","Tanggung Jawab UtamaMengembangkan dan memelihara aplikasi menggunakan Native PHP dan MySQL.Membuat dashboard dan laporan (report).Memperbaiki bug serta menambahkan fitur baru sesuai kebutuhan produk.Berkolaborasi dengan tim dalam merancang alur proses aplikasi dan memastikan alur bisnis berjalan lancar.Melakukan dokumentasi terhadap pekerjaan yang dilakukan.KualifikasiPendidikan Minimal S1 Teknik Informatika, Sistem Informasi atau bidang terkaitPengalaman 2 tahun di proyek nyata (bukan tugas perkuliahan) sebagai PHP Developer atau Full Stack Developer.Mampu memahami dan menerjemahkan proses bisnis ke dalam alur aplikasi.Mampu membuat query MySQL yang efisien dan mendesain skema database.Mampu merancang skema dan query MySQL yang efisien untuk OLTP & analitikKemampuan presentasi yang baik untuk memaparkan laporan ke stakeholders.Memahami mengenai sistem operasi linux","101-1,000 employees","IT/Programmer","https://bx-branding-gateway.cloud.seek.com.au/0a524fb5-12f0-4a12-91cb-445546e5c087.1/jdpLogo","https://id.jobstreet.com/id/job/91882288?type=standard&ref=search-standalone#sol=8c58d1cea9c1b846e63d31e3ff26391f8622412c"
"Software Engineer","PT QUDO BUANA NAWAKARA","Jakarta Raya","","PT Qudo Buana Nawakara adalah perusahaan penyedia solusi teknologi terkemuka, kami mencari software engineer yang akan menjadi technical owner dan bertanggung jawab atas development web application, integrasi dengan Core AI, performance, dan stabilitas sistem. Bergabunglah dengan kami dan menjadi bagian dari tim yang berpikir maju dalam membentuk masa depan teknologi di Indonesia.Tanggung Jawab Mengembangkan & meningkatkan fitur aplikasi Mengintegrasikan aplikasi dengan system AI internal (API / async) Monitoring & optimasi performa sistem (API, DB, resource) Menangani troubleshooting & incident production Menjaga reliability, scalability, dan stabilitas sistemKualifikasi TeknisWajib: 3+ tahun pengalaman sebagai Software Engineer Strong backend (PHP / Node.js / Go / Java / Python atau sejenisnya) Pengalaman REST API & system integration Menguasai database (MySQL/PostgreSQL) & Redis Familiar dengan Docker & containerized environment Terbiasa debugging & troubleshooting production issue DevOps Requirement: Memahami deployment & container orchestration (Docker Swarm / Kubernetes) Mengerti CI/CD pipeline Memahami monitoring & logging (Grafana, metrics, log analysis) Mengerti konsep reliability: timeout, retry, circuit breaker, scaling Mampu melakukan performance tuning & resource optimization Karakter yang Dicari Problem solver dengan ownership tinggi Bisa berpikir end-to-end (frontend backend DB infra) Proaktif dalam improvement & stabilitas sistemBekerja sama dengan baik dalam tim","","IT/Programmer","https://bx-branding-gateway.cloud.seek.com.au/7a524c46-dd2b-4260-a869-94790d31084a.1/jdpLogo","https://id.jobstreet.com/id/job/91485487?type=standard&ref=search-standalone#sol=1e07a0f1bcbe01a603e6f201b239080307eb5c73"
"IT Staff","PT Alumindo Alloy Abadi","Jakarta Timur","","Gaji kompetitif, asuransi kesehatan, pengembangan karier berkelanjutan, lingkungan kerja dinamis.","Tugas & Tanggung Jawab (Job Description)A. Monitoring & Proteksi SistemMonitoring keamanan sistem (server, aplikasi, jaringan) setiap hariMengawasi log, firewall, IDS/IPS, SIEMMendeteksi aktivitas mencurigakan (hacker, malware, brute force)B. Vulnerability & TestingVulnerability assessmentPenetration testing (pentest)Mencari celah keamanan di software & websiteC. Incident ResponseMenangani insiden: Virus / malware , Kebocoran data, Login mencurigakanInvestigasi + membuat laporan kejadianD. Maintenance & ImprovementUpdate patch security (Windows/Linux/server)Improve sistem keamanan secara berkalaRekomendasi solusi keamanan ke tim developerE. Access ControlMengelola: User account, Hak akses (role / permission)F. Dokumentasi & ComplianceMembuat: SOP keamanan, Laporan auditMenjaga compliance (ISO 27001, UU PDP, dll)G. Edukasi & KolaborasiMemberikan awareness security ke karyawanKoordinasi dengan tim IT, developer, dan manajemen Skill yang DibutuhkanA. Hard Skill (WAJIB)Network security (TCP/IP, OSI layer)Sistem operasi: Windows & LinuxWeb security (SQL Injection, XSS, dll)Tools: Burp Suite, SQLMap, Wireshark, SIEM toolsBasic programming (minimal paham logic: VB.NET / C# / Python jadi nilai tambah)B. Soft SkillAnalisa & problem solving kuatTeliti (detail-oriented)Cepat respon saat incidentBisa kerja tim & komunikasi baik Kualifikasi UmumMinimal D3 / S1: Teknik Informatika, Sistem Informasi, Cyber SecurityFresh graduate dipersilahkan melamarPengalaman 1 3 tahun, mempunyai pengalaman diatas 3 tahun lebih disukaiSertifikasi (Nilai Tambah): CEH (Certified Ethical Hacker), CompTIA Security+, ISO 27001Untuk System Security Software, mengerti Secure coding (OWASP Top 10), Code review security, API , Security DevSecOps (CI/CD security), Bug bounty / ethical hacking","IT/Programmer","https://bx-branding-gateway.cloud.seek.com.au/b31b52d7-d694-4534-ba42-268d51f1a726.2/jdpLogo","https://id.jobstreet.com/id/job/91607639?type=standard&ref=search-standalone#sol=e131d8b15c2244eebfe92adb72b15b245dbf8193"
"IT Engineer (Mandarin Speaker)","PT YOFC International Indonesia","Jakarta Barat","Rp 6.000.000 Rp 8.000.000 per month","installing, configuring, and maintaining systems, networks, and applications. Handles troubleshooting, provides support, and ensures smooth operations","Responsibility:Install and configure computer hardware, software, networks, and applicationsContinuously monitor and maintain systems and networksRespond to technical support calls from other staff members or clients and communicate how to resolve issuesDiagnose and troubleshoot system and network problems, software faults, or hardware complicationsSupport the roll-out of new applicationsKeep a record of issues, along with solutions, to refer back to in future instancesPrepare accurate and timely reportsRequirements:Minimum Diploma degree majoring in Information Technology/Computer Systems or relatedHas min. 3 years of related working experienceHands-on experience with Windows/Linux/Mac OS environmentsGood experience in troubleshooting hardware, laptops, mobile devices, printing devices, and other tech productsAbility to diagnose and troubleshoot basic technical issuesFamiliarity with remote desktop applications and help desk software (eg. Zendesk)Excellent problem-solving and communication skillsFluent in English, both written and Spoken (Can speak Mandarin is preferable.)Able to start working immediatelyLocation home near in APL Tower, West jakarta","IT/Programmer","https://bx-branding-gateway.cloud.seek.com.au/4b740dce-76a0-4c26-b767-7901bdeabf92.1/jdpLogo","https://id.jobstreet.com/id/job/91933098?type=standard&ref=search-standalone#sol=e94270f90c0493c959b3d4fc516f5e6a6ef0c3fe"
"Data Center Support / Engineer","PT RackH Lintas Asia","Jakarta Raya","","PT RackH Lintas AsiaSalah satu Perusahaan IT Terbaik yang fokus pada layanan Infrastructure as a Service (IaaS), Hosting Data Center dan Internet Service Provider (ISP) mencari kandidat terbaik untuk posisi: Data Center Support / EngineerPilihan Lokasi : Jakarta dan Medan Persyaratan :1. Menguasai Instalasi Linux dan Windows Server 2. Menguasai Apache/Nginx, Mariadb/MySQL, PHP, FTP, DNS dan Email (POP3/IMAP/SMTP) 3. Mengerti menggunakan cPanel atau control panel lainnya 4. Mengerti menggunakan Wordpress atau CMS lainnya 5. Mengerti konsep Firewall dan Backup Server 6. Mengerti konsep Virtualisasi dan Cloud Server 7. Nilai lebih jika pernah kerja di ISP, Hosting Provider, atau IT Company 8. Bersedia melakukan perjalanan dinas jika dibutuhkan 9. Dapat berkomunikasi dengan baik serta respon yang cepat terhadap pekerjaan 10. Berani, Bersemangat, Inisiatif dan dapat bekerjasama dengan timTanggung Jawab Pekerjaan :- Bersama tim menjaga dan merawat infrastruktur perusahaan - Bersama tim memberikan solusi dukungan teknis kepada pelanggan - Bersama tim membuat dokumentasi teknis dan laporan kerja","","IT/Programmer","https://bx-branding-gateway.cloud.seek.com.au/1df6675d-bf02-4c17-9f5a-36b4e6062eb5.2/jdpLogo","https://id.jobstreet.com/id/job/92009886?type=standard&ref=search-standalone&origin=jobCard#sol=57024303ff1a559a27425e35538baf8af32f53b7"
"IT Support / Operator ( 3 position )","PT Integrasi Solusi Prima","Jakarta Barat","","Bachelor Degree (S1) from Technical / System Information or related technical education with IPK > 3.0Minimum 1 years experienced in related fieldGood command in EnglishGood attitude & pro-active personFamiliar with Network (Cisco, Juniper) & Security (Firewall, Endpoint Protection) productAble to work underpressureAble to work independentAble to work as a team workAble to work at customer on site & shiftingPlease send your CV with complete education transcript, not late than 2 ( two ) weeks from now","11-50 employees","IT/Programmer","https://bx-branding-gateway.cloud.seek.com.au/94649678-c667-4b7d-99b5-96c782fd4245.1/jdpLogo","https://id.jobstreet.com/id/job/91553047?type=standard&ref=search-standalone&origin=jobCard#sol=852cf218391c3bb2daf7b679c941ad0bdf14ae08"
