url;company;location;job_title;jobdesk;salary;job_category;skill_req;education_req;work_type;company_size;image_logo_url
https://id.jobstreet.com/id/job/91587300?type=standard&ref=search-standalone&origin=jobCard#sol=5a96a047dad35b9189d85b3870950c18c1584c39;Pengiklan Anonim;Jakarta Raya;IT Infrastructure Staff;"Kualifikasi :
Kualifikasi :Pendidikan min. S1 Teknik Informatika / Teknik Komputer / jurusan sejenisPengalaman min. 1 tahun di bidang manajemen infrastruktur ITBerpengalaman dalam instalasi dan troubleshooting infrastruktur IT, termasuk server, komputer, perangkat komunikasi (IP phone, radio PTP/comm, CCTV), jaringan (router,firewall, VLAN, DHCP), dllPenempatan Head Office – Jakarta Pusat.
Bergabunglah dengan jutaan pencari kerja di seluruh dunia menggunakan alat dan wawasan pembentukan karier kami.";Tidak Disebutkan;Administrasi Jaringan & Sistem (Teknologi Informasi & Komunikasi);Teknik Komputer, Instalasi, Troubleshooting, Closed Circuit Television;S1;Kontrak/Temporer;201-500 employees;Tidak Disebutkan
https://id.jobstreet.com/id/job/91839833?type=standard&ref=search-standalone&origin=jobCard#sol=f5b56dd8bbe13fd8552fb973fbdd1271b66147db;Tidak Disebutkan;Kebon Jeruk, Jakarta Raya;Head of IT;"Key Responsibilities
Key ResponsibilitiesTechnical Documentation Management: Establish and maintain documentation systems for architecture, deployment, and operations, ensuring continuous updates and usabilityInfrastructure Management: Oversee server architecture (cloud/on-premise), deployment, and optimization to ensure system stabilityVendor Management: Select and manage cloud services, hardware, and outsourcing vendors, balancing cost and qualityIT Support: Build standardized IT support processes (ticketing system, SLA) to improve internal service efficiencyIT Compliance & Security: Implement access control, data protection, and audit requirementsRequirements5+ years of experience in IT-related roles, with experience in IT system building or restructuringFamiliar with servers, cloud platforms, and basic networkingExperience in vendor managementExperience in building technical documentation systems (not just writing documents)Fluent in English (for daily communication and documentation)Experience supporting IPO processes or working in a listed company environment is a plus
Bergabunglah dengan jutaan pencari kerja di seluruh dunia menggunakan alat dan wawasan pembentukan karier kami.";Tidak Disebutkan;Manajemen (Teknologi Informasi & Komunikasi);Penyebaran, Manajemen Infrastruktur, Hardware, Sistem Teknologi Informas;Tidak Disebutkan;Full time;1-50 employees;https://bx-branding-gateway.cloud.seek.com.au/e3cbb1a6-1e7b-43f0-8f16-d603e2959a96.1/jdpLogo
https://id.jobstreet.com/id/job/91355816?type=standard&ref=search-standalone&origin=jobCard#sol=92f8e655fc2b2d909cab06146774712ffe46dfe3;Unique;Jakarta Barat, Jakarta Raya;IT SUPPORT;"Lulusan SMK sederajatPengalaman minimal 2 tahun dibidang ITMemiliki kemampuan troubleshoot jaringan, firewall, NAT, Wifi, VPN, LAN, Fiber OpticBersedia bekerja dengan jadwal waktu dan lokasi pekerjaan yang fleksibel dan bertanggung jawab atas pekerjaan Memiliki kepribadian jujur, rapih, bersih, dan tertib Memiliki Kendaraan (Motor) PribadiSiap bekerja secepatnyaMencantumkan gaji yang diharapkanBerdomisili di Jakarta Barat dan sekitarnyaSelain untuk di Jakarta Barat, Perusahaan kami sedang mencari IT untuk ditempatkan di daerah Cilacap, Nusakambangan.
Bergabunglah dengan jutaan pencari kerja di seluruh dunia menggunakan alat dan wawasan pembentukan karier kami.";Tidak Disebutkan;Administrasi Jaringan & Sistem (Teknologi Informasi & Komunikasi);Troubleshooting, Firewalls, Virtual Private Network, Local Area Network;SMK;Full time;51-100 employees;https://bx-branding-gateway.cloud.seek.com.au/f7a0a463-6aaa-40c7-b8f1-9e2519af15e2.1/jdpLogo
https://id.jobstreet.com/id/job/91788696?type=standard&ref=search-standalone&origin=jobCard#sol=d88eef8d4eb02b902ec9bad091ed316c1508f231;Pancaran Group;Jakarta Utara, Jakarta Raya;IT Support;"Job Description :
Job Description :Receive, record requests and incidents from users via ticketing system.Monitor, verify the correctness of data in service and follow up - status requests and incidents until the service is properly delivered to the user.Perform troubleshooting incidents that occur according to the agreed SLA.Escalation / dispatch problems / incidents and requests that cannot be resolved within the deadline for resolution to the support group.Perform system monitoring and regular physical inspections to ensure the IT system is functioning properly and in accordance with the predetermined quality.Maintain user satisfaction levels and report work results to users for feedback.Installing and maintaining computers, multimedia, and data networks, both hardware and software.Perform troubleshooting and repair of all problems related to computers, multimedia, and data networks, both problems caused by hardware.Maintain and safeguard IT assets belonging to COMPANY which are included in the scope of its responsibilities.Carry out work in accordance with the SOP and Occupational Health and Safety regulations.Make regular work reports and report to the Helpdesk Coordinator.Requirements :Candidate must possess Bachelor Degree in Information Technology.Proven minimum 2 years experiences.Excellent communication and critical thinking skills.Good organizational skills and detail-oriented mindset.Fast learner.Willing to be placed at Cilincing, North Jakarta
Bergabunglah dengan jutaan pencari kerja di seluruh dunia menggunakan alat dan wawasan pembentukan karier kami.";Tidak Disebutkan;Meja Bantuan & Dukungan IT (Teknologi Informasi & Komunikasi);Troubleshooting, Instalasi, Hardware, Helpdesk Support;Bachelor, Degree;Full time;101-1,000 employees;https://bx-branding-gateway.cloud.seek.com.au/c236f87d-322d-42d6-bbb1-31e35d63e353.2/jdpLogo
https://id.jobstreet.com/id/job/91800508?type=standard&ref=search-standalone&origin=jobCard#sol=0f354edca0c033a840c2c26a184ff2aae26e67af;Mustika Citra Rasa;Jakarta Raya;IT SUPPORT;"Melakukan monitoring, memecahkan permasalahan tentang permasalahan pada perangkat lunak atau perangkat keras.
Melakukan monitoring, memecahkan permasalahan tentang permasalahan pada perangkat lunak atau perangkat keras.Melakukan monitoring, memecahkan permasalahan tentang permasalahan internet atau jaringan.Bekerja sama dengan berbagai departemen untuk memberikan solusi terkait permasalahan yang terkait pada IT Support, server di kantor, dan server di cloud.
Kualifikasi :Pendidikan Minimal D3 Teknik Informatika / Teknik Komputer / Sistem InformasiMemiliki pengalaman di bidang IT Support di F&B, Retail, atau Hospitality.Pengalaman di sistem operasi Windows, hosting web, Sistem Operasi Linux, dan Google AppsPerawatan panel kontrol server ataupun piranti jaringanAkrab dengan perangkat keras PC, Printer, Pemindai, Periferal Komputer, NAS, Mesin POSMemahami Konektivitas PC user – Ethernet, TCP / IP, Switch, Router, Firewall, dan VPNBerpengalaman di Server (Hardware/Software)Kemampuan untuk mengkomunikasikan informasi teknis baik lisan maupun tulisanDiutamakan yang memahami Sistem Operasi LinuxPenempatan kerja Kantor Pusat Holland Bakery Jakarta Utara
Bergabunglah dengan jutaan pencari kerja di seluruh dunia menggunakan alat dan wawasan pembentukan karier kami.";Rp 6.000.000 – Rp 7.000.000 per month;Meja Bantuan & Dukungan IT (Teknologi Informasi & Komunikasi);Perangkat Lunak Komputer, Perangkat Keras Komputer, IT Technical Support, Teknik Komputer;D3;Full time;More than 10,000 employees;https://bx-branding-gateway.cloud.seek.com.au/91914890-a9ca-4f50-a3be-76462a7ab64d.1/jdpLogo
https://id.jobstreet.com/id/job/91887471?type=standard&ref=search-standalone&origin=jobCard#sol=97932194a45ac1bed4e3ac096c132403070196e9;CV INDITEC ROYAL OPTIMA ASIA;Cengkareng, Jakarta Raya;IT & GA;"Kesempatan
Kami sedang mencari seorang profesional IT & GA yang dinamis dan berpengalaman untuk bergabung dengan tim kami di CV INDITEC ROYAL OPTIMA ASIA' di Cengkareng, Jakarta Raya. Dalam peran ini, Anda akan memainkan peran kunci dalam memastikan kelancaran operasi teknologi informasi dan dukungan umum untuk organisasi kami.
Kesempatan
Kami sedang mencari seorang profesional IT & GA yang dinamis dan berpengalaman untuk bergabung dengan tim kami di CV INDITEC ROYAL OPTIMA ASIA' di Cengkareng, Jakarta Raya. Dalam peran ini, Anda akan memainkan peran kunci dalam memastikan kelancaran operasi teknologi informasi dan dukungan umum untuk organisasi kami.Tanggung JawabMemberikan dukungan teknis dan penyelesaian masalah untuk semua perangkat keras dan lunak IT yang digunakan di perusahaan.Mengelola dan memelihara infrastruktur IT, termasuk server, jaringan, dan sistem keamanan.Mengkoordinasikan pembelian, instalasi, dan konfigurasi perangkat keras dan lunak IT.Memberikan dukungan administrasi umum, seperti manajemen surat-menyurat, pengaturan rapat, dan pengelolaan fasilitas kantor.Membantu mengembangkan dan menerapkan prosedur dan kebijakan IT untuk meningkatkan efisiensi dan keamanan.Berkoordinasi dengan penyedia layanan eksternal untuk memastikan pemeliharaan dan perbaikan sistem yang tepat waktu.PersyaratanGelar diploma atau sarjana dalam bidang Teknologi Informasi, Sistem Informasi, atau disiplin ilmu terkait.Minimal 1 tahun pengalaman dalam peran dukungan IT atau administrasi umum di lingkungan perusahaan.Pengetahuan yang kuat tentang sistem operasi Windows, jaringan, dan aplikasi perkantoran.Kemampuan pemecahan masalah yang baik dan paham mengenai mikrotikKemampuan komunikasi yang efektif, baik lisan maupun tertulis.Bersedia belajar dan mengadopsi teknologi baru yang diperlukan untuk mendukung pertumbuhan bisnis.Tentang Kami
CV INDITEC ROYAL OPTIMA ASIA' adalah perusahaan teknologi informasi yang inovatif dan berkembang pesat di Indonesia. Kami berkomitmen untuk menyediakan solusi IT terdepan dan layanan dukungan yang unggul bagi pelanggan kami. Dengan tim yang terdiri dari profesional IT yang berdedikasi, kami terus berupaya meningkatkan standar layanan dan membantu organisasi mencapai tujuan digital mereka.
Jika Anda siap untuk bergabung dengan tim kami yang dinamis, lamar sekarang!
Bergabunglah dengan jutaan pencari kerja di seluruh dunia menggunakan alat dan wawasan pembentukan karier kami.";Rp 3.500.000 – Rp 4.000.000 per month;Meja Bantuan & Dukungan IT (Teknologi Informasi & Komunikasi);Tidak Disebutkan;Sarjana, Diploma;Full time;501-1,000 employees;https://bx-branding-gateway.cloud.seek.com.au/5ec248cd-cb1d-43f8-b25b-507c60dd4c64.1/jdpLogo
https://id.jobstreet.com/id/job/91762207?type=standard&ref=search-standalone&origin=jobCard#sol=63ba1685855da2bb831fd53bf7428e3a2cd30354;Nara Law;Jakarta Selatan, Jakarta Raya;IT Staff;"NARA Law (formerly known as Tarigan & Partners) is a full-service law firm, is looking for team support for the following position:
NARA Law (formerly known as Tarigan & Partners) is a full-service law firm, is looking for team support for the following position: Role OverviewPosition: IT SupportLocation: Sampoerna Strategic Square, South JakartaExpertise: Help Desk & IT Support (Information & Communication Technology) QualificationsMinimum 2 years of experience in IT support.Solid experience in handling office equipment and tools, including printers, Wi-Fi networks, desktops, and laptops running on both Windows and macOS.Knowledge of basic IT technologies, i.e., monitoring tools, troubleshooting tools.Hands-on experience with IT asset management, including tracking, maintaining, and optimizing hardware and software inventories.Team skills, including the ability to establish and maintain effective working relationships.Strong problem-solving skills, especially under time pressure.Willing to work onsite and can join immediately. If you feel that you fit the abovementioned criteria, please submit your cover letter (in English), your CV, and any documents that you believe are relevant, along with your expected salary. We highly appreciate if you could provide the aforementioned documents no later than 4 May 2026. We will contact shortlisted candidates via phone call and/or email. Looking forward to working with you!
Bergabunglah dengan jutaan pencari kerja di seluruh dunia menggunakan alat dan wawasan pembentukan karier kami.";Tidak Disebutkan;Meja Bantuan & Dukungan IT (Teknologi Informasi & Komunikasi);IT Technical Support, Mesin Cetak, Sistem Operasi Windows, Troubleshooting;Tidak Disebutkan;Full time;501-1,000 employees;https://bx-branding-gateway.cloud.seek.com.au/fb82296a-9b95-4aca-b5fb-9274ef191926.2/jdpLogo
https://id.jobstreet.com/id/job/91373929?type=standard&ref=search-standalone&origin=jobCard#sol=433d78dd582ebe4583f416415d1cf0c282d7dac7;ADR Group Of Companies;Jakarta Utara, Jakarta Raya;IT Infrastruktur & Support;"Maintenance IT Infrastructure HO DC, DRC and Network existing and make sure running normaly.
Maintenance IT Infrastructure HO DC, DRC and Network existing and make sure running normaly.Troubleshoot for all problem on IT Infrastructure (Server,PC/Laptop,Printer,CCTV,IP PBX, Router, Firewall, Tower and etc) on related area.Analyze problem for preventif and corrective action for solving problemManage network administration including troubleshooting and configurationPerform user support (email, PC, laptop troubleshooting, projector, IP phone, etc)Document all aspects of the project and ensure that all projects are delivered on-time with in scope and budget.Serve as the first point of contact for customers seeking technical assistance over the phone or emailDetermine the best solution based on the issue and details provided by customersWalk the customer through the problem-solving process & Direct unresolved issues to the next level of support personnelProvide accurate information on IT products or servicesRecord events and problems and their resolution in logsPass on any feedback or suggestions by customers to the appropriate internal teamResponsible and documentation for IT asset and License ADR AGRO group .Coordinate approvals and signatures for IT purchase orders, Coordinate execution of IT material, vendor notification of executed IT material and storage.Monitor IT service contracts. Coordinate tracking of all service contracts in centralized tool.Coordinate updates to IT Asset Management tools to update inventory for hardware, software and services.Create IT Asset Inventory reports as required for designated stakeholders.Work with designated IT teams to coordinate monitoring of hardware and software inventory. Coordinate updates to the inventory management tools & Coordinate orders of additional hardware and software at the minimum order level once inventory has reached a minimum level.Update the designated Department and Project budget workbooks as required.Work with IT leadership, management stakeholders, Purchasing, Accounts Payable and Finance to continuously optimize the IT Asset Management process.Coordinate checking competitive pricing with different vendors as required.Provide support to the annual budgeting process.Coordinate approvals and signatures for IT Purchase orders.Receives general instructions on what is to be done, limitations, quality and quantity expected, deadlines and priority of assignments from Manager. Uses initiative in carrying out recurring assignments independently without specific instruction but receives additional specific instructions from Manager for new, difficult or special projects/assignments.Pengalaman min. 2th sebagai IT InfrastrukturPenempatan di PIK (Jakarta Utara)
Bergabunglah dengan jutaan pencari kerja di seluruh dunia menggunakan alat dan wawasan pembentukan karier kami.";Tidak Disebutkan;Teknik – Perangkat Lunak (Teknologi Informasi & Komunikasi);Tidak Disebutkan;Tidak Disebutkan;Full time;1,001-5,000 employees;https://bx-branding-gateway.cloud.seek.com.au/55cd1e7e-7765-4349-8268-9053a204827e.1/jdpLogo
https://id.jobstreet.com/id/job/91761614?type=standard&ref=search-standalone&origin=jobCard#sol=1c13bf726adb3170acc02869bc0f1867a853a1c5;Prestasi Piranti Informasi;Jakarta Selatan, Jakarta Raya;MONITORING / FIELD ENGINEER;"Kualifikasi yang dibutuhkan :
Kualifikasi yang dibutuhkan :Minimal D3 Teknik Informatika / Komputer/ TelekomunikasiFresh graduate dipersilakan, atau max 2 tahun pengalaman di NOC / Monitoring/ Network SupportBersedia bekerja shift (rotating / 24 jam )Bersedia untuk bekerja lembur dan on site jika dibutuhkan operasionalMemahami dasar jaringan dan infrastruktur internet (TCP/IP , VLAN, Route / Switching)Tinggal di Jakarta dan sekitarnya / Jakarta Selatan (Kuningan )Harus memiliki kendaraanHanya pelamar serius yang boleh melamar
Tanggung Jawab :Menyelesaikan troubleshooting awal, isolasi gangguan, eskalasi ke Network / Field EngineerMonitoring backbone , jaringan akses, FTTH 24/7Monitoring alarm GPON / FTTH , status dan kesehatan layanan ONU /ONTFrontline support untuk laporan gangguan via chat , Email, teleponMembuat tiket insiden, mencatat log monitoring dan laporan operasionalSiap untuk onsite troubleshooting / support lapangan jika dibutuhkan
Bergabunglah dengan jutaan pencari kerja di seluruh dunia menggunakan alat dan wawasan pembentukan karier kami.";Rp 6.000.000 – Rp 8.000.000 per month;Meja Bantuan & Dukungan IT (Teknologi Informasi & Komunikasi);Tidak Disebutkan;D3;Full time;51-100 employees;https://bx-branding-gateway.cloud.seek.com.au/5baecdf2-16db-4e76-ad39-2f87ea4c5ffd.2/jdpLogo
https://id.jobstreet.com/id/job/91882288?type=standard&ref=search-standalone&origin=jobCard#sol=525152fd3844342f53e0d076a5e4631c691823d4;SuperCorridor;Kelapa Gading, Jakarta Raya;IT Fullstack;"Tanggung Jawab Utama
Tanggung Jawab UtamaMengembangkan dan memelihara aplikasi menggunakan Native PHP dan MySQL.Membuat dashboard dan laporan (report).Memperbaiki bug serta menambahkan fitur baru sesuai kebutuhan produk.Berkolaborasi dengan tim dalam merancang alur proses aplikasi dan memastikan alur bisnis berjalan lancar.Melakukan dokumentasi terhadap pekerjaan yang dilakukan.KualifikasiPendidikan Minimal S1 Teknik Informatika, Sistem Informasi atau bidang terkaitPengalaman 2 tahun di proyek nyata (bukan tugas perkuliahan) sebagai PHP Developer atau Full Stack Developer.Mampu memahami dan menerjemahkan proses bisnis ke dalam alur aplikasi.Mampu membuat query MySQL yang efisien dan mendesain skema database.Mampu merancang skema dan query MySQL yang efisien untuk OLTP & analitikKemampuan presentasi yang baik untuk memaparkan laporan ke stakeholders.Memahami mengenai sistem operasi linux
Bergabunglah dengan jutaan pencari kerja di seluruh dunia menggunakan alat dan wawasan pembentukan karier kami.";Tidak Disebutkan;Developer/Programmer (Teknologi Informasi & Komunikasi);Tidak Disebutkan;S1;Full time;101-1,000 employees;https://bx-branding-gateway.cloud.seek.com.au/0a524fb5-12f0-4a12-91cb-445546e5c087.1/jdpLogo
